date,actual,predicted
2015-07-02,764128.0,841705.9
2015-07-03,720597.0,785648.4
2015-07-04,674883.0,675437.25
2015-07-05,721128.0,651459.94
2015-07-06,875557.0,807221.0
2015-07-07,960439.0,926563.25
2015-07-08,953587.0,971460.5
2015-07-09,916756.0,946960.0
2015-07-10,878164.0,883064.8
2015-07-11,807173.0,798093.5
2015-07-12,799567.0,766135.75
2015-07-13,892899.0,919246.7
2015-07-14,910382.0,901886.6
2015-07-15,866331.0,901414.25
2015-07-16,786201.0,877179.2
2015-07-17,799334.0,814815.9
2015-07-18,847173.0,742969.5
2015-07-19,962842.0,821248.25
2015-07-20,1090739.0,1.0300379e+06
2015-07-21,1003916.0,1.0619838e+06
2015-07-22,865750.0,988848.75
2015-07-23,827321.0,868538.06
2015-07-24,822164.0,809623.5
2015-07-25,800209.0,763672.94
2015-07-26,847785.0,772019.56
2015-07-27,930620.0,951718.2
2015-07-28,992581.0,1.00800975e+06
2015-07-29,1018804.0,1.0042744e+06
2015-07-30,999107.0,998288.3
2015-07-31,927436.0,976725.2
2015-08-01,851430.0,852634.3
2015-08-02,817835.0,818643.0
2015-08-03,938259.0,912466.06
2015-08-04,967199.0,947071.0
2015-08-05,900669.0,952158.4
2015-08-06,833560.0,920259.9
2015-08-07,817756.0,835477.06
2015-08-08,753000.0,749146.3
2015-08-09,755464.0,738966.3
2015-08-10,805170.0,849478.2
2015-08-11,849278.0,847063.7
2015-08-12,840471.0,855084.25
2015-08-13,809747.0,853630.06
2015-08-14,824421.0,820706.75
2015-08-15,837515.0,762423.7
2015-08-16,868223.0,761271.56
2015-08-17,993620.0,962364.75
2015-08-18,987208.0,963124.2
2015-08-19,980921.0,932346.8
2015-08-20,962288.0,955825.75
2015-08-21,897511.0,915512.6
2015-08-22,752983.0,814964.9
2015-08-23,731608.0,739837.94
2015-08-24,878713.0,819238.4
2015-08-25,894864.0,911219.4
2015-08-26,795138.0,909542.6
2015-08-27,762361.0,796991.06
2015-08-28,758006.0,783155.94
2015-08-29,746257.0,728074.25
2015-08-30,801731.0,730416.2
2015-08-31,945678.0,904498.7
2015-09-01,965121.0,913620.44
2015-09-02,956446.0,944120.7
2015-09-03,976008.0,935894.6
2015-09-04,945272.0,946481.0
2015-09-05,797228.0,831645.7
2015-09-06,730930.0,738571.3
2015-09-07,813768.0,762277.3
2015-09-08,977134.0,827996.94
2015-09-09,1014405.0,934705.7
2015-09-10,878077.0,989796.56
2015-09-11,797996.0,849857.4
2015-09-12,695485.0,702403.94
2015-09-13,639363.0,650714.0
2015-09-14,670105.0,729466.4
2015-09-15,714581.0,751637.44
2015-09-16,760809.0,780355.1
2015-09-17,785586.0,770842.06
2015-09-18,783047.0,768795.44
2015-09-19,735587.0,694230.8
2015-09-20,678091.0,695590.06
2015-09-21,671713.0,742417.2
2015-09-22,676461.0,743388.75
2015-09-23,687233.0,732308.6
2015-09-24,692467.0,709182.3
2015-09-25,678357.0,691222.4
2015-09-26,600053.0,621528.8
2015-09-27,588315.0,594902.56
2015-09-28,723823.0,662597.9
2015-09-29,792633.0,739231.8
2015-09-30,786410.0,810336.06
2015-10-01,660180.0,772208.75
2015-10-02,644516.0,685111.3
2015-10-03,612837.0,613459.6
2015-10-04,584170.0,607932.3
2015-10-05,640596.0,686957.5
2015-10-06,650965.0,678620.0
2015-10-07,657001.0,686476.25
2015-10-08,657949.0,665547.44
2015-10-09,672752.0,647156.75
2015-10-10,573794.0,610463.44
2015-10-11,564287.0,578330.06
2015-10-12,639246.0,663063.6
2015-10-13,661108.0,651312.3
2015-10-14,646608.0,666348.9
2015-10-15,640397.0,636439.6
2015-10-16,633475.0,634278.06
2015-10-17,593399.0,585345.6
2015-10-18,613919.0,578186.7
2015-10-19,694588.0,687607.75
2015-10-20,670979.0,677679.94
2015-10-21,654218.0,659130.6
2015-10-22,651766.0,654895.1
2015-10-23,628629.0,635898.44
2015-10-24,594706.0,594108.06
2015-10-25,579406.0,577507.3
2015-10-26,652993.0,660468.44
2015-10-27,683566.0,635681.06
2015-10-28,684023.0,665526.1
2015-10-29,657865.0,664939.7
2015-10-30,642769.0,637442.56
2015-10-31,610743.0,594725.6
2015-11-01,590750.0,610739.9
2015-11-02,654128.0,660608.25
2015-11-03,663914.0,664898.2
2015-11-04,660060.0,676014.25
2015-11-05,666109.0,662953.94
2015-11-06,672582.0,662955.94
2015-11-07,596348.0,643574.4
2015-11-08,584622.0,603281.4
2015-11-09,684301.0,649989.1
2015-11-10,676162.0,678545.06
2015-11-11,663360.0,679177.75
2015-11-12,676195.0,669666.0
2015-11-13,660152.0,667858.8
2015-11-14,636367.0,638362.6
2015-11-15,625301.0,626474.25
2015-11-16,665192.0,685832.6
2015-11-17,676530.0,679805.2
2015-11-18,687905.0,684513.25
2015-11-19,675680.0,688545.1
2015-11-20,657099.0,675723.44
2015-11-21,645532.0,642258.2
2015-11-22,639778.0,651645.25
2015-11-23,751824.0,696456.44
2015-11-24,754572.0,762127.25
2015-11-25,731676.0,748795.8
2015-11-26,624044.0,727067.94
2015-11-27,612234.0,662697.25
2015-11-28,601699.0,614209.8
2015-11-29,626242.0,609320.5
2015-11-30,732307.0,699275.94
2015-12-01,722483.0,757316.0
2015-12-02,704253.0,734744.0
2015-12-03,714896.0,714634.9
2015-12-04,720136.0,714313.4
2015-12-05,686191.0,697607.4
2015-12-06,686207.0,680318.9
2015-12-07,738900.0,732861.25
2015-12-08,743773.0,756539.7
2015-12-09,753180.0,741974.1
2015-12-10,702418.0,746994.75
2015-12-11,695345.0,723013.3
2015-12-12,628202.0,673642.94
2015-12-13,603207.0,645268.5
2015-12-14,674939.0,681965.7
2015-12-15,672171.0,705146.06
2015-12-16,699599.0,698660.06
2015-12-17,712040.0,706074.4
2015-12-18,720492.0,709170.6
2015-12-19,731996.0,681338.9
2015-12-20,721146.0,737829.75
2015-12-21,754383.0,785976.06
2015-12-22,705806.0,767757.8
2015-12-23,686594.0,722629.0
2015-12-24,636075.0,702780.3
2015-12-25,587186.0,686999.3
2015-12-26,595349.0,634834.6
2015-12-27,602383.0,629125.3
2015-12-28,702011.0,701011.3
2015-12-29,716158.0,712371.2
2015-12-30,696312.0,718748.94
2015-12-31,667293.0,701939.9
2016-01-01,670751.0,673458.7
2016-01-02,696432.0,638968.4
2016-01-03,698803.0,682189.56
2016-01-04,821012.0,748873.1
2016-01-05,918751.0,827056.75
2016-01-06,879283.0,948486.44
2016-01-07,817474.0,894291.4
2016-01-08,771602.0,825326.75
2016-01-09,686671.0,746810.3
2016-01-10,643391.0,689948.8
2016-01-11,804098.0,738954.9
2016-01-12,848017.0,847308.75
2016-01-13,890412.0,854337.06
2016-01-14,833752.0,895629.56
2016-01-15,764267.0,844697.75
2016-01-16,681176.0,723628.6
2016-01-17,728423.0,686065.8
2016-01-18,887930.0,807981.4
2016-01-19,961848.0,890448.9
2016-01-20,902689.0,933173.8
2016-01-21,867547.0,893847.06
2016-01-22,906943.0,824843.44
2016-01-23,861253.0,845598.8
2016-01-24,802438.0,812258.0
2016-01-25,845192.0,869364.06
2016-01-26,804811.0,878608.44
2016-01-27,776594.0,821364.44
2016-01-28,820444.0,775032.06
2016-01-29,810789.0,828831.2
2016-01-30,757484.0,787286.5
2016-01-31,688021.0,766456.06
2016-02-01,719299.0,785564.9
2016-02-02,738100.0,776358.6
2016-02-03,742908.0,763627.0
2016-02-04,714204.0,765177.8
2016-02-05,769354.0,728228.9
2016-02-06,742932.0,723918.3
2016-02-07,726912.0,728837.75
2016-02-08,772506.0,785518.3
2016-02-09,814467.0,784522.0
2016-02-10,831269.0,812890.4
2016-02-11,908135.0,810954.44
2016-02-12,917719.0,891895.56
2016-02-13,906396.0,836151.4
2016-02-14,931316.0,869239.2
2016-02-15,946546.0,985578.0
2016-02-16,812227.0,936115.0
2016-02-17,799483.0,815856.7
2016-02-18,821931.0,827937.75
2016-02-19,849097.0,830338.4
2016-02-20,681334.0,811437.44
2016-02-21,644951.0,715613.56
2016-02-22,709260.0,741622.06
2016-02-23,776357.0,748251.3
2016-02-24,751690.0,786786.0
2016-02-25,727207.0,778170.2
2016-02-26,782073.0,760262.8
2016-02-27,730750.0,742056.8
2016-02-28,656460.0,726271.0
2016-02-29,689238.0,757347.0
2016-03-01,693572.0,745146.5
2016-03-02,721251.0,729977.75
2016-03-03,793479.0,747364.44
2016-03-04,797524.0,782243.44
2016-03-05,723245.0,758698.0
2016-03-06,691481.0,717492.0
2016-03-07,716835.0,767269.0
2016-03-08,661863.0,734485.7
2016-03-09,650325.0,699470.44
2016-03-10,652018.0,676733.3
2016-03-11,631880.0,663170.2
2016-03-12,591081.0,607066.8
2016-03-13,587733.0,592337.1
2016-03-14,686396.0,682785.4
2016-03-15,686172.0,689543.9
2016-03-16,660719.0,679896.06
2016-03-17,649153.0,673721.1
2016-03-18,649210.0,653509.75
2016-03-19,648406.0,610109.06
2016-03-20,671746.0,627140.75
2016-03-21,720450.0,727417.6
2016-03-22,704828.0,714616.2
2016-03-23,656620.0,694884.0
2016-03-24,633360.0,666856.6
2016-03-25,604186.0,636725.3
2016-03-26,574827.0,577586.06
2016-03-27,570281.0,567280.56
